Date,Open,High,Low,Close,Volume
2025-06-24 00:00:00+05:30,153.3,157.0,153.3,154.8,1831943
2025-06-25 00:00:00+05:30,156.0,156.85,155.5,156.4,833954
2025-06-26 00:00:00+05:30,156.6,161.0,156.55,160.5,3293862
2025-06-27 00:00:00+05:30,160.75,163.35,160.75,161.4,1855477
2025-06-30 00:00:00+05:30,161.0,162.25,159.5,159.75,759212
2025-07-01 00:00:00+05:30,160.35,160.35,157.75,159.95,1482091
2025-07-02 00:00:00+05:30,160.1,166.1,159.9,165.9,2591744
2025-07-03 00:00:00+05:30,166.25,168.75,165.15,165.85,3584427
2025-07-04 00:00:00+05:30,166.0,166.4,162.05,163.0,932221
2025-07-07 00:00:00+05:30,162.8,163.4,161.55,162.4,527792
2025-07-08 00:00:00+05:30,162.2,162.95,161.55,161.95,1019797
2025-07-09 00:00:00+05:30,161.9,161.95,157.55,159.0,770093
2025-07-10 00:00:00+05:30,160.0,161.55,159.25,160.65,1051278
2025-07-11 00:00:00+05:30,160.85,161.65,159.35,159.85,512079
2025-07-14 00:00:00+05:30,159.7,161.1,159.25,160.35,702508
2025-07-15 00:00:00+05:30,160.6,160.85,158.05,159.05,673404
2025-07-16 00:00:00+05:30,158.8,159.3,157.0,157.3,774017
2025-07-17 00:00:00+05:30,157.35,160.75,157.15,159.85,875470
2025-07-18 00:00:00+05:30,160.05,162.85,160.05,162.5,973692
2025-07-21 00:00:00+05:30,162.3,165.55,162.3,162.95,2818643
2025-07-22 00:00:00+05:30,163.1,164.4,162.8,163.0,1038097
2025-07-23 00:00:00+05:30,163.1,164.15,161.9,162.8,459930
2025-07-24 00:00:00+05:30,162.75,164.7,162.75,163.45,1230280
2025-07-25 00:00:00+05:30,163.7,163.7,160.8,161.4,992201
2025-07-28 00:00:00+05:30,161.4,162.3,159.05,159.65,631727
2025-07-29 00:00:00+05:30,158.95,162.35,158.3,161.7,631719
2025-07-30 00:00:00+05:30,161.1,162.85,161.05,161.35,802351
2025-07-31 00:00:00+05:30,161.35,162.2,156.5,157.8,1053251
2025-08-01 00:00:00+05:30,157.8,157.95,152.55,153.0,860398
2025-08-04 00:00:00+05:30,154.35,159.9,153.65,159.6,1200553
2025-08-05 00:00:00+05:30,159.6,160.15,158.2,159.6,950491
2025-08-06 00:00:00+05:30,159.6,159.85,157.8,158.7,417517
2025-08-07 00:00:00+05:30,156.8,160.0,156.25,159.7,930942
2025-08-08 00:00:00+05:30,159.2,160.0,157.0,158.0,731632
2025-08-11 00:00:00+05:30,157.9,160.0,157.05,158.85,1371736
2025-08-12 00:00:00+05:30,158.35,161.65,158.35,160.2,2702852
2025-08-13 00:00:00+05:30,160.5,162.4,159.85,160.15,1993101
2025-08-14 00:00:00+05:30,160.15,162.0,154.9,155.3,1151146
2025-08-18 00:00:00+05:30,158.45,158.6,156.0,157.95,1252561
2025-08-19 00:00:00+05:30,158.3,159.5,156.75,159.1,547420
2025-08-20 00:00:00+05:30,158.1,162.7,158.0,161.95,996007
2025-08-21 00:00:00+05:30,162.0,162.55,161.1,161.5,2531809
2025-08-22 00:00:00+05:30,161.4,161.4,158.25,158.55,511168
2025-08-25 00:00:00+05:30,159.0,160.35,158.65,159.6,776129
2025-08-26 00:00:00+05:30,159.5,159.5,154.6,155.0,1027421
2025-08-28 00:00:00+05:30,156.1,156.1,153.2,153.55,725103
2025-08-29 00:00:00+05:30,154.25,155.2,153.0,154.45,385029
2025-09-01 00:00:00+05:30,154.3,156.35,153.9,156.2,430231
2025-09-02 00:00:00+05:30,155.75,159.05,155.5,158.45,1582539
2025-09-03 00:00:00+05:30,158.45,168.0,158.45,167.8,8779590
2025-09-04 00:00:00+05:30,169.0,169.2,166.6,166.75,1328191
2025-09-05 00:00:00+05:30,166.8,168.0,165.95,167.65,609853
